bs,底横条,Base Fess,stripe_bottom
ts,顶横条,Chief Fess,stripe_top
ls,右竖条,Pale Dexter,stripe_left
rs,左竖条,Pale Sinister,stripe_right
cs,中竖条,Pale,stripe_center
ms,中横条,Fess,stripe_middle
drs,右斜条,Bend,stripe_downright
dls,左斜条,Bend Sinister,stripe_downleft
ss,竖条纹,Paly,small_stripes
cr,斜十字,Saltire,cross
sc,正十字,Cross,straight_cross
ld,左上三角,Per Bend Sinister,diagonal_left
rud,右上三角,Per Bend,diagonal_right
lud,左下三角,Per Bend Inverted,diagonal_up_left
rd,右下三角,Per Bend Sinister Inverted,diagonal_up_right
vh,左半方形,Per Pale,half_vertical
vhr,右半方形,Per Pale Inverted,half_vertical_right
hh,上半方形,Per Fess,half_horizontal
hhb,下半方形,Per Fess Inverted,half_horizontal_bottom
bl,右底方,Base Dexter Canton,square_bottom_left
br,左底方,Base Sinister Canton,square_bottom_right
tl,右顶方,Chief Dexter Canton,square_top_left
tr,左顶方,Chief Sinister Canton,square_top_right
bt,底三角,Chevron,triangle_bottom
tt,顶三角,Inverted Chevron,triangle_top
bts,底波纹,Base Indented,triangles_bottom
tts,顶波纹,Chief Indented,triangles_top
mc,圆形,Roundel,circle
mr,菱形,Lozenge,rhombus
bo,方框边,Bordure,border
cbo,波纹边,Bordure Indented,curly_border
bri,砖纹,Field Masoned,bricks
gra,自上渐淡,Gradient,gradient
gru,自下渐淡,Base Gradient,gradient_up
cre,苦力怕盾徽,Creeper Charge,creeper
sku,头颅盾徽,Skull Charge,skull
flo,花朵盾徽,Flower Charge,flower
moj,Mojang徽标,Thing,mojang
glb,地球盾徽,Globe,globe
pig,猪鼻,Snout,piglin
flw,涡流,Flow,flow
gus,旋风,Guster,guster
